repo	file	url	container_hint	grain_hint	notes
openelections-sources-mi	2024 Berrien County, MI county-level results.pdf	https://raw.githubusercontent.com/openelections/openelections-sources-mi/master/2024/general/2024%20Berrien%20County%2C%20MI%20county-level%20results.pdf	pdf?	county	vendor-normalized
openelections-sources-mi	2024 Cass County, MI precinct-level results.pdf	https://raw.githubusercontent.com/openelections/openelections-sources-mi/master/2024/general/2024%20Cass%20County%2C%20MI%20precinct-level%20results.pdf	pdf?	precinct	vendor-normalized
openelections-sources-mi	2024 Eaton County, MI precinct-level results.xlsx	https://raw.githubusercontent.com/openelections/openelections-sources-mi/master/2024/general/2024%20Eaton%20County%2C%20MI%20precinct-level%20results.xlsx	xlsx	precinct	vendor-normalized
openelections-sources-mi	2024 Genesse County, MI precinct-level results.xls	https://raw.githubusercontent.com/openelections/openelections-sources-mi/master/2024/general/2024%20Genesse%20County%2C%20MI%20precinct-level%20results.xls	xls?	precinct	vendor-normalized
openelections-sources-mi	2024 Grand Traverse County, MI precinct-level results.xlsx	https://raw.githubusercontent.com/openelections/openelections-sources-mi/master/2024/general/2024%20Grand%20Traverse%20County%2C%20MI%20precinct-level%20results.xlsx	xlsx	precinct	vendor-normalized
openelections-sources-mi	2024 Ionia County, MI precinct-level results.pdf	https://raw.githubusercontent.com/openelections/openelections-sources-mi/master/2024/general/2024%20Ionia%20County%2C%20MI%20precinct-level%20results.pdf	pdf?	precinct	vendor-normalized
openelections-sources-mi	2024 Lake County, MI precinct-level results.xlsx	https://raw.githubusercontent.com/openelections/openelections-sources-mi/master/2024/general/2024%20Lake%20County%2C%20MI%20precinct-level%20results.xlsx	xlsx	precinct	vendor-normalized
openelections-sources-mi	2024 Lapeer County, MI precinct-level results.pdf	https://raw.githubusercontent.com/openelections/openelections-sources-mi/master/2024/general/2024%20Lapeer%20County%2C%20MI%20precinct-level%20results.pdf	pdf?	precinct	vendor-normalized
openelections-sources-mi	2024 Livingston County, MI precinct-level results.pdf	https://raw.githubusercontent.com/openelections/openelections-sources-mi/master/2024/general/2024%20Livingston%20County%2C%20MI%20precinct-level%20results.pdf	pdf?	precinct	vendor-normalized
openelections-sources-mi	2024 Oakland County, MI precinct-level results.xls	https://raw.githubusercontent.com/openelections/openelections-sources-mi/master/2024/general/2024%20Oakland%20County%2C%20MI%20precinct-level%20results.xls	xls?	precinct	vendor-normalized
